,meaning,example
abate,become less in amount or intensity,"Yes, Joseph Addison, I hear and I will obey within Reason, for it appears that the Curiosity you speak of has in no Way abated."
aberrant,markedly different from an accepted norm,"On a world level, the eruption at the Norte Chico was improbable, even aberrant."
abeyance,temporary cessation or suspension,"And off he’d go to his chessboard, without his mother’s permission, leaving his school assignments in abeyance."
abscond,"run away, often taking something or somebody along","Cora spoke of her mother, Mabel, who absconded one day and left her to the inconstant mercy of the world."
abstemious,marked by temperance in indulgence,"“I should have guessed. Too opulent for your abstemious revolutionary and yourself, I take it?”"
admonish,scold or reprimand; take to task,"The rock might be angry about something that people did and rejoice over some other action, the rock might admonish people or ask for favours."
adulterate,make impure by adding a foreign or inferior substance,"Cato and Pliny had said that a bottle made of ivy could be used to establish whether wine had been adulterated with water, as the wine would be expelled, leaving the water behind."
aesthetic,characterized by an appreciation of beauty or good taste,"By definition, aesthetic is “that which concerns the beautiful.”"
aggregate,a sum total of many heterogeneous things taken together,"The index of aggregate weekly payrolls, which tallies the combined weekly wages of all U.S. workers, rose 0.3% from May."
alacrity,liveliness and eagerness,"“Certainly,” he replied with alacrity, and stood up to put it in train for speaking."
alleviate,"provide physical relief, as from pain","As a scientist, she believed that it was her obligation to perform medical research that would help alleviate human suffering."
amalgamate,bring or combine together or with something else,"The mistress used to be kept in a minor house or apartment of her own, and now they’ve amalgamated things."
ambiguous,having more than one possible meaning,"But the diagnosis baffles many clinicians, who call it ambiguous, vague and unwieldy."
ambivalence,mixed feelings or emotions,"One odd ambivalence was how some letters, otherwise all but championing Mr. Muhammad, would recoil at the expression “white devils.”"
ameliorate,make better,She had a notion about the air down here and its ameliorating effects on the circulation.
anachronism,locating something at a time when it couldn't have existed,“I love finding anachronisms in movies and shows.”
analogous,similar or equivalent in some respects,"It may be analogous, in some respects, to the panic once experienced by poor and working-class whites faced with desegregation—the fear of a sudden demotion in the nation’s racial hierarchy."
anarchy,a state of lawlessness and disorder,"Paula had the air of a real ideologue; she could, Ifemelu imagined, slip easily into anarchy, stand at the forefront of protests, defying the clubs of policemen and the taunts of unbelievers."
anomalous,deviating from the general or common order or type,"This alone makes it extremely anomalous; it means that our planetary system consists of four rocky inner planets, four gassy outer giants, and a tiny, solitary iceball."
antipathy,a feeling of intense dislike,"John had not much affection for his mother and sisters, and an antipathy to me."
apathy,an absence of emotion or enthusiasm,And she never lets our apathy discourage her.
appease,make peace with,The first resolution was designed to appease the Deep South by confirming that the Constitution prohibited any federal legislation limiting or ending the slave trade until 1808.
apprise,inform somebody of something,Sotheby’s apprised Mr. Big of the fact that his “Rembrandt” was appraised as worthless. as if/as though.
approbation,official acceptance or agreement,Other scientists bent down and with equal approbation scooped up handfuls of dirt.
appropriate,"suitable for a particular person, place, or situation","He appropriated both, after a moment of sniffing the muzzle of the pistol."
arduous,characterized by effort to the point of exhaustion,The climb up to the arches and stained-glass windows was long and arduous.
artless,simple and natural; without cunning or deceit,"“You want something?” said Gloria, eyes wide in an apparently artless complexity that fooled her huge “nursemaid” not at all."
ascetic,someone who practices self denial as a spiritual discipline,"He remembered how once, as a youth, he had compelled his father to let him go and join the ascetics, how he had taken leave of him, how he had gone and never returned."
assiduous,marked by care and persistent effort,"He had learned these three arts and nothing else during the diligent, assiduous years of his youth."
assuage,"provide physical relief, as from pain","This is the kind of thing we do, to assuage pain."
attenuate,"become weaker, in strength, value, or magnitude","In Pascal’s account of why the mercury does not descend in the Torricellian tube the formal and material causes are so attenuated as to be uninteresting, and the final cause has disappeared completely."
audacious,disposed to venture or take risks,"Foreigners weren’t always so considerate, though, and he usually lashed out at anyone audacious enough to address him."
austere,of a stern or strict bearing or demeanor,And they took an austere view of the visual.
aver,declare or affirm solemnly and formally as true,"I averred that I was honored by his recollection, no less than by his attendance upon the first performance."
banal,repeated too often; overfamiliar through overuse,"But this banality of violence can never excuse America, because America makes no claim to the banal."
belie,be in contradiction with,"I make myself as small as possible, as if my size could belie our closeness."
beneficent,doing or producing good,"She forgot the names of the servants and even of her own children, yet she always managed to be present, like a cheerful, beneficent spirit, at whose slightest footfall clocks began to wind themselves."
bolster,support and strengthen,Khrushchev viewed a new alliance with Cuba as a chance to extend Soviet influence to America's backyard; Fidel Castro welcomed the chance to bolster his defenses against his aggressive American neighbor.
bombastic,ostentatiously lofty in style,“And there is a certain bombast in the way we speak that I had also forgotten. I started feeling truly at home again when I started being bombastic!”
boorish,ill-mannered and coarse in behavior or appearance,"“To begin with, I could teach these boorish ogres how to eat properly.”"
burgeon,grow and flourish,"She could feel it burgeoning within her, welling up like tears."
burnish,polish and make shiny,"The top part of the painting, where the sky would have been, was covered in burnished silver."
buttress,a support usually of stone or brick,"As in the mica mine in North Carolina, long wooden planks and struts buttressed the walls and ceiling."
cacophonous,having an unpleasant sound,The politics of the 1790s was a truly cacophonous affair.
capricious,determined by chance or impulse rather than by necessity,"Darwin had called these variants “sports,” implying a streak of capricious whimsy in the natural world."
castigation,verbal punishment,"The one discordant note was also the note people are still talking about: Robert De Niro’s expletive-dotted castigation of President Trump, delivered before introducing Bruce Springsteen’s performance."
catalyst,substance that initiates or accelerates a chemical reaction,It sounds unbelievable to me that one person can be a catalyst for such a change.
caustic,capable of destroying or eating away by chemical action,"Mr. Justice Wargrave, mellowed by the excellent port, was being amusing in a caustic fashion, Dr. Armstrong and Tony Marston were listening to him."
chicanery,the use of tricks to deceive someone,"In their zeal to avoid resurrecting the sport’s reputation for chicanery, they tried to bury the incident."
coagulate,change from a liquid to a thickened or solid state,"A surgeon will probe the exposed brain before slicing into it with a scalpel, using the path of coagulated blood to trace the path of the ball."
coda,the closing section of a musical composition,"The concert opener, Haydn’s Variations in F minor, was limpid and gorgeously colored, with playful flourishes that led to an explosive ________."
cogent,powerfully persuasive,"Studies have been done, in fact, in which experts in a given field have analyzed such random phenomena and come up with cogent “explanations” for the patterns."
commensurate,corresponding in size or degree or extent,"In interviews here, my previous findings were confirmed: with the exception of those trained in professions where they can set up independent practice, they can find jobs commensurate with their education only outside the South."
compendium,a publication containing a variety of works,"The English Dancing Master, John Playford’s compendium of catchy regional folk songs and dances, was the most successful musical publication of Oliver Cromwell’s Commonwealth."
complaisant,showing a cheerful willingness to do favors for others,"Onstage, there was absolutely nothing complaisant about her."
compliant,disposed to act in accordance with someone's wishes,"It's a stretch, but I'm thinking that maybe I can lace one of the sheriff’s cigarettes with the drug, make him compliant, and then just finish the job."
